date,average_glucose,median_glucose,min_glucose,max_glucose,reading_count
2018-09-26,177.02867292326246,159.94444444444446,41.0,336.0,576
2018-09-27,184.34106691919192,190.83116883116884,54.0,382.0,576
2018-09-28,166.599041005291,169.68639291465377,49.0,334.0,576
2018-09-29,221.8537489557226,235.5261904761905,72.0,383.0,576
2018-09-30,184.80298069761668,182.5105263157895,69.0,336.0,576
2018-10-01,126.70724554507336,126.89293751081877,57.0,192.0,576
2018-10-02,177.49175047258979,176.0,40.0,288.0,529
2018-11-07,139.87532249742003,131.5,40.0,293.0,285
2018-11-08,164.4553830791576,154.5,57.0,294.0,864
2018-11-09,171.59628041031226,165.5,41.0,319.0,864
2018-11-10,147.6628472222222,140.9246575342466,49.0,292.0,864
2018-11-11,166.63721064814814,157.83333333333331,45.0,416.0,864
2018-11-12,182.18663194444446,177.0,58.77777777777778,355.0,864
2018-11-13,143.26888678451178,134.16666666666669,55.0,289.0,864
2018-11-14,152.99666354404258,146.1611560953666,51.0,318.0,864
2018-11-15,150.83681214421253,131.0,40.0,443.5,864
2018-11-16,164.8736213235294,154.0,47.0,358.0,864
2018-11-17,170.75611175785798,159.33333333333334,50.0,372.0,859
2018-11-18,181.07899305555554,175.83333333333331,41.0,323.0,576
2018-11-19,162.63975694444446,151.0,40.0,334.0,576
2018-11-20,179.60926573426573,167.97311827956992,53.0,334.0,572
2019-03-27,101.81720430107526,82.0,40.0,186.0,186
2019-03-28,122.39375,106.0,40.0,308.0,720
2019-03-29,156.19733796296296,129.83333333333331,40.0,333.0,864
2019-03-30,203.3258101851852,195.83333333333331,49.0,401.0,864
2019-03-31,166.1851851851852,175.41666666666669,40.0,311.0,864
2019-04-01,174.64279513888889,165.16666666666669,47.0,345.0,864
2019-04-02,147.58291961094866,142.0,55.0,262.0,864
2019-04-03,193.99721099453424,183.1764705882353,52.0,326.0,864
2019-04-04,169.5217607034396,157.75,56.0,370.0,864
2019-04-05,178.70728114478115,174.16666666666669,58.0,351.0,864
2019-04-06,200.37759710930442,217.0,46.44715447154472,349.0,864
2019-04-07,163.79022696476966,172.25,41.0,308.0,864
2019-04-08,172.07384259259257,169.5,45.0,312.0,864
2019-04-09,180.51627859477122,164.0,65.0,364.0,816
2019-07-03,119.93398978847556,103.33333333333331,40.0,268.0,457
2019-07-04,144.90928819444446,139.0,40.0,299.0,1152
2019-07-05,162.80598958333334,154.16666666666669,40.0,383.0,1152
2019-07-06,164.80295138888889,149.83333333333331,42.0,371.0,1152
2019-07-07,168.50564236111111,163.33333333333334,40.0,359.0,1152
2019-07-08,167.77213541666666,155.33333333333334,40.0,348.0,1152
2019-07-09,174.51388888888889,162.66666666666666,42.0,347.0,1152
2019-07-10,177.98263888888889,170.66666666666666,40.0,356.0,1152
2019-07-11,156.63355513307985,154.66666666666669,40.0,314.0,1052
2019-07-12,184.328125,174.33333333333331,40.0,390.0,864
2019-07-13,163.08739076154808,157.66666666666666,40.0,302.0,801
2019-07-14,109.79513888888889,105.5,40.0,255.0,576
2019-07-15,145.25,154.5,40.0,264.0,576
2019-07-16,113.66627078384798,106.0,40.0,290.0,421
2020-01-16,118.76829268292683,126.33333333333331,80.0,168.0,123
2020-01-17,117.37456242707118,117.25,40.0,233.0,857
2020-01-18,111.29340277777777,116.0,40.0,180.0,864
2020-01-19,131.75578703703704,125.33333333333334,40.0,298.0,864
2020-01-20,148.58678500986193,141.0,62.0,302.0,1014
2020-01-21,138.01953125,133.33333333333334,40.66666666666666,260.0,1152
2020-01-22,133.38368055555554,117.5,40.0,359.0,1152
2020-01-23,117.55034722222223,105.0,44.0,302.0,1152
2020-01-24,154.39930555555554,160.0,40.0,247.0,1152
2020-01-25,129.00303819444446,110.83333333333334,45.0,282.0,1152
2020-01-26,131.07378472222223,126.0,45.0,277.0,1152
2020-01-27,138.55208333333334,129.0,41.0,311.0,1152
2020-01-28,120.67664930555556,110.5,54.0,245.0,1152
2020-01-29,112.75651041666667,110.58333333333334,40.0,252.0,1152
2020-01-30,111.61184210526316,94.33333333333331,46.0,235.0,760
2020-05-23,106.88421052631578,115.0,40.0,167.0,285
2020-05-24,164.14484126984127,156.0,40.0,316.0,288
2020-05-25,151.776455026455,156.6904761904762,83.0,263.0,288
2020-05-26,110.96846064814815,108.23674242424242,54.0,215.3333333333333,288
2020-05-27,131.93055555555554,139.83333333333331,40.0,241.0,288
2020-05-28,151.97829861111111,137.83333333333331,62.0,290.0,288
2020-05-29,114.82204861111111,110.0,41.0,232.5,288
2020-05-30,183.625,192.16666666666663,55.0,296.0,288
2020-05-31,113.87152777777777,109.33333333333334,53.0,170.0,288
2020-06-01,158.17881944444446,153.0,65.0,324.0,288
2020-06-02,165.34375,157.66666666666666,55.0,321.0,288
2020-06-03,140.69791666666666,131.16666666666669,75.0,220.0,288
2020-06-04,185.84027777777777,189.83333333333331,97.0,282.0,288
2020-06-05,179.54513888888889,176.33333333333334,62.0,302.0,288
2020-06-06,221.55555555555554,256.7,40.0,341.0,288
2020-06-07,160.77430555555554,157.0,66.0,288.0,288
2020-06-08,185.59722222222223,190.16666666666663,76.0,288.0,288
2020-06-09,146.01041666666666,143.5,62.0,279.0,288
2020-06-10,201.38020833333334,189.0,130.0,327.0,288
2020-06-11,172.22916666666666,181.16666666666663,49.0,320.0,288
2020-06-12,190.86284722222223,196.16666666666663,79.0,301.0,288
2020-06-13,170.21006944444446,166.16666666666669,79.0,306.0,288
2020-06-14,217.67766203703704,229.66666666666663,99.0,309.0,288
2020-06-15,183.40046296296293,202.3333333333333,74.0,323.0,288
2020-06-16,145.0388888888889,140.16666666666669,71.0,226.0,288
2020-06-17,128.88819444444442,112.5,40.0,354.0,288
2020-06-18,169.46875,172.0,61.0,311.2,288
2020-06-19,138.65798611111111,144.33333333333331,40.0,214.0,288
2020-06-20,188.52951388888889,194.0,87.0,295.0,288
2020-06-21,156.63194444444446,163.0,52.0,246.0,288
2020-06-22,158.71961805555554,155.16666666666669,65.0,260.0,288
2020-06-23,215.13715277777777,226.83333333333331,107.33333333333331,288.0,288
2020-06-24,134.88020833333334,118.0,42.0,333.0,288
2020-06-25,161.65104166666666,144.66666666666669,85.0,289.0,288
2020-06-26,141.7200647249191,120.66666666666669,69.0,252.0,309
2020-06-27,137.15668402777777,136.0,59.0,247.0,576
2020-06-28,142.19010416666666,123.16666666666666,45.0,370.0,576
2020-06-29,152.39033564814815,141.0,53.0,349.0,576
2020-06-30,135.67997685185185,134.5,40.0,271.0,576
2020-07-01,111.81510416666667,100.5,40.0,238.0,576
2020-07-02,120.53385416666667,117.83333333333334,40.0,243.0,576
2020-07-03,112.61371527777777,91.0,41.0,351.0,576
2020-07-04,151.42317708333334,151.0,45.0,295.5,576
2020-07-05,124.8515625,107.66666666666666,40.0,299.0,576
2020-07-06,139.375,129.0,40.0,289.0,576
2020-07-07,128.00607638888889,101.33333333333331,53.0,388.0,576
2020-07-08,130.28038194444446,114.58333333333331,53.0,285.0,576
2020-07-09,173.28559027777777,167.66666666666669,48.0,298.0,576
2020-07-10,154.78645833333334,167.5,53.0,240.0,576
2020-07-11,174.76649305555554,161.16666666666669,40.0,343.0,576
2020-07-12,150.14409722222223,153.33333333333331,40.0,310.0,576
2020-07-13,146.06076388888889,115.0,40.0,314.0,576
2020-07-14,162.59982638888889,143.0,54.0,338.0,576
