feature,importance
glucose,0.995415340119055
glucose_lag_1,0.0023471130742998454
glucose_lag_3,0.0018029995833379548
bolus_volume_delivered,9.043863533066548e-05
calories,7.237446902856538e-05
heart_rate,6.561463116561795e-05
basal_rate,5.349475893402805e-05
carb_input,4.58643220890232e-05
day,4.5326680453656596e-05
hour,4.119585827166363e-05
steps,2.0237868034128852e-05
