activity_level,average_glucose,median_glucose,reading_count
No Activity,138.2577150659849,129.66666666666666,219350
Low Activity,147.5943781851342,137.33333333333334,43538
Moderate Activity,151.20632848049442,141.0,31965
High Activity,149.23139715228498,139.0,14539
